index,City,Date,Card Type,Exp Type,Gender,Amount
18991,"Virudhachalam, India",27-Apr-15,Silver,Bills,F,63000
19258,"Balurghat, India",27-Apr-15,Gold,Bills,F,90514
19379,"Mandya, India",27-Apr-15,Signature,Bills,M,33136
19380,"Uchgaon, India",27-Apr-15,Silver,Fuel,M,16325
19676,"Alappuzha, India",27-Apr-15,Signature,Food,F,295341
20266,"Kolkata, India",27-Apr-15,Silver,Food,F,96167
21232,"Chennai, India",27-Apr-15,Signature,Grocery,F,244900
21441,"Pune, India",27-Apr-15,Signature,Entertainment,M,26075
22595,"Pune, India",27-Apr-15,Silver,Bills,F,126584
22942,"Hyderabad, India",27-Apr-15,Platinum,Entertainment,M,211907
23062,"Pune, India",27-Apr-15,Silver,Fuel,M,56641
23537,"Hyderabad, India",27-Apr-15,Signature,Bills,F,236434
24661,"Kanpur, India",27-Apr-15,Signature,Fuel,M,134613
24907,"Kanpur, India",27-Apr-15,Signature,Bills,F,251969
25436,"Surat, India",27-Apr-15,Gold,Travel,M,192728
25601,"Hyderabad, India",27-Apr-15,Platinum,Travel,F,208688
25825,"Kanpur, India",27-Apr-15,Silver,Travel,F,274034
25979,"Kanpur, India",27-Apr-15,Signature,Travel,F,222093
554,"Greater Mumbai, India",26-Apr-15,Silver,Food,F,159718
777,"Ahmedabad, India",26-Apr-15,Silver,Entertainment,F,64149
2069,"Ahmedabad, India",26-Apr-15,Silver,Fuel,M,233437
2384,"Bengaluru, India",26-Apr-15,Platinum,Fuel,M,92822
2536,"Greater Mumbai, India",26-Apr-15,Platinum,Fuel,F,21547
3651,"Delhi, India",26-Apr-15,Signature,Grocery,M,151594
4616,"Ahmedabad, India",26-Apr-15,Silver,Grocery,F,196094
4897,"Greater Mumbai, India",26-Apr-15,Platinum,Grocery,M,234231
5059,"Delhi, India",26-Apr-15,Gold,Food,F,223541
5595,"Bengaluru, India",26-Apr-15,Silver,Food,F,173178
6831,"Delhi, India",26-Apr-15,Gold,Food,F,184017
8119,"Bengaluru, India",26-Apr-15,Gold,Bills,M,7876
8743,"Bengaluru, India",26-Apr-15,Signature,Entertainment,F,5097
9522,"Delhi, India",26-Apr-15,Signature,Fuel,F,148101
10690,"Greater Mumbai, India",26-Apr-15,Silver,Grocery,M,45204
10823,"Delhi, India",26-Apr-15,Platinum,Fuel,M,190130
10838,"Greater Mumbai, India",26-Apr-15,Gold,Grocery,F,135734
11019,"Ahmedabad, India",26-Apr-15,Gold,Entertainment,M,31363
12334,"Bengaluru, India",26-Apr-15,Platinum,Food,M,281474
12733,"Greater Mumbai, India",26-Apr-15,Platinum,Fuel,F,173093
13231,"Ahmedabad, India",26-Apr-15,Gold,Entertainment,F,27054
13369,"Ahmedabad, India",26-Apr-15,Silver,Grocery,F,294131
13582,"Delhi, India",26-Apr-15,Signature,Food,F,145388
14046,"Lahar, India",26-Apr-15,Silver,Bills,F,210828
14433,"Ottappalam, India",26-Apr-15,Silver,Grocery,M,101024
15088,"Savarkundla, India",26-Apr-15,Silver,Fuel,F,22393
16223,"Sanand, India",26-Apr-15,Signature,Food,F,46359
16750,"Radhanpur, India",26-Apr-15,Platinum,Entertainment,M,236991
17127,"Tekkalakote, India",26-Apr-15,Signature,Bills,F,96254
17480,"Shahbad, India",26-Apr-15,Signature,Food,F,277169
18525,"Kapurthala, India",26-Apr-15,Silver,Food,F,165061
19959,"Raghogarh-Vijaypur, India",26-Apr-15,Silver,Entertainment,F,167150
20166,"Surat, India",26-Apr-15,Gold,Food,M,147190
20428,"Hyderabad, India",26-Apr-15,Gold,Bills,F,245581
20561,"Jaipur, India",26-Apr-15,Platinum,Entertainment,F,57151
21023,"Kolkata, India",26-Apr-15,Gold,Bills,M,95366
21268,"Kanpur, India",26-Apr-15,Silver,Entertainment,M,285154
22057,"Kanpur, India",26-Apr-15,Silver,Grocery,F,243403
23116,"Jaipur, India",26-Apr-15,Signature,Fuel,M,102892
24547,"Lucknow, India",26-Apr-15,Platinum,Food,M,45819
226,"Ahmedabad, India",25-Apr-15,Gold,Bills,F,451874
1706,"Delhi, India",25-Apr-15,Gold,Food,M,175390
3052,"Ahmedabad, India",25-Apr-15,Gold,Entertainment,M,79105
3301,"Ahmedabad, India",25-Apr-15,Signature,Entertainment,M,149145
3564,"Greater Mumbai, India",25-Apr-15,Platinum,Food,M,115670
3611,"Greater Mumbai, India",25-Apr-15,Signature,Bills,M,5115
4098,"Greater Mumbai, India",25-Apr-15,Silver,Food,M,6786
5248,"Delhi, India",25-Apr-15,Signature,Bills,F,244345
6203,"Ahmedabad, India",25-Apr-15,Platinum,Grocery,M,97108
7800,"Delhi, India",25-Apr-15,Gold,Entertainment,M,169231
8207,"Ahmedabad, India",25-Apr-15,Gold,Entertainment,F,113587
8571,"Ahmedabad, India",25-Apr-15,Gold,Entertainment,M,180742
9478,"Ahmedabad, India",25-Apr-15,Gold,Grocery,M,8016
10471,"Bengaluru, India",25-Apr-15,Silver,Grocery,M,175555
10792,"Delhi, India",25-Apr-15,Silver,Bills,M,184400
10890,"Bengaluru, India",25-Apr-15,Platinum,Entertainment,M,178733
12654,"Ahmedabad, India",25-Apr-15,Gold,Food,M,24281
13128,"Ahmedabad, India",25-Apr-15,Signature,Food,F,15525
13628,"Delhi, India",25-Apr-15,Silver,Bills,M,59984
13818,"Greater Mumbai, India",25-Apr-15,Platinum,Food,F,216660
14007,"Sojat, India",25-Apr-15,Signature,Food,M,289353
14207,"Siddipet, India",25-Apr-15,Signature,Grocery,M,90531
16644,"Medininagar (Daltonganj), India",25-Apr-15,Platinum,Fuel,M,194067
16670,"Padra, India",25-Apr-15,Platinum,Entertainment,F,150767
17255,"Savner, India",25-Apr-15,Signature,Grocery,F,97435
17519,"Savner, India",25-Apr-15,Signature,Bills,F,58333
17606,"Shajapur, India",25-Apr-15,Platinum,Bills,M,290754
18076,"Narayanpet, India",25-Apr-15,Silver,Entertainment,M,275117
18780,"Veraval, India",25-Apr-15,Signature,Entertainment,F,34723
19033,"Petlad, India",25-Apr-15,Gold,Entertainment,M,110866
19302,"Sathyamangalam, India",25-Apr-15,Gold,Food,M,287472
19720,"Vapi, India",25-Apr-15,Platinum,Bills,F,265533
19921,"Barpeta, India",25-Apr-15,Platinum,Food,M,90416
20842,"Jaipur, India",25-Apr-15,Signature,Food,F,299689
22656,"Lucknow, India",25-Apr-15,Silver,Food,M,282282
23003,"Kolkata, India",25-Apr-15,Silver,Entertainment,M,214840
23849,"Jaipur, India",25-Apr-15,Gold,Grocery,M,226203
24816,"Lucknow, India",25-Apr-15,Signature,Bills,F,291891
24842,"Hyderabad, India",25-Apr-15,Signature,Bills,M,84252
104,"Greater Mumbai, India",24-Apr-15,Silver,Bills,F,944398
1160,"Greater Mumbai, India",24-Apr-15,Silver,Grocery,F,111014
2754,"Bengaluru, India",24-Apr-15,Platinum,Grocery,F,110047
3295,"Ahmedabad, India",24-Apr-15,Silver,Grocery,M,221028
4798,"Bengaluru, India",24-Apr-15,Gold,Food,F,224782
4805,"Bengaluru, India",24-Apr-15,Gold,Grocery,F,2628
5398,"Ahmedabad, India",24-Apr-15,Platinum,Bills,F,91320
5405,"Bengaluru, India",24-Apr-15,Platinum,Entertainment,F,176742
5748,"Greater Mumbai, India",24-Apr-15,Signature,Fuel,F,287518
6173,"Ahmedabad, India",24-Apr-15,Signature,Grocery,M,180760
6244,"Delhi, India",24-Apr-15,Signature,Grocery,M,287877
6427,"Ahmedabad, India",24-Apr-15,Silver,Grocery,F,68457
6616,"Ahmedabad, India",24-Apr-15,Platinum,Food,M,215247
7114,"Greater Mumbai, India",24-Apr-15,Platinum,Fuel,F,233520
7556,"Greater Mumbai, India",24-Apr-15,Platinum,Bills,M,265219
7661,"Delhi, India",24-Apr-15,Gold,Bills,M,38652
7853,"Ahmedabad, India",24-Apr-15,Signature,Fuel,F,163232
8503,"Greater Mumbai, India",24-Apr-15,Platinum,Entertainment,M,288302
9163,"Ahmedabad, India",24-Apr-15,Silver,Entertainment,F,284724
10038,"Bengaluru, India",24-Apr-15,Gold,Bills,F,267749
10390,"Greater Mumbai, India",24-Apr-15,Signature,Fuel,F,22345
11972,"Delhi, India",24-Apr-15,Gold,Grocery,F,55120
12156,"Delhi, India",24-Apr-15,Platinum,Bills,F,276608
12447,"Delhi, India",24-Apr-15,Silver,Bills,M,96067
13728,"Bengaluru, India",24-Apr-15,Signature,Fuel,M,127805
14112,"Shahade, India",24-Apr-15,Silver,Entertainment,M,104627
14289,"Morshi, India",24-Apr-15,Platinum,Bills,M,185314
14782,"Saharsa, India",24-Apr-15,Gold,Entertainment,F,235428
15205,"Mandi, India",24-Apr-15,Platinum,Entertainment,M,189096
16416,"Bapatla, India",24-Apr-15,Silver,Grocery,M,88041
17153,"Nedumangad, India",24-Apr-15,Platinum,Entertainment,F,184429
18116,"Tiruchirappalli, India",24-Apr-15,Platinum,Food,F,184886
18630,"Rewari, India",24-Apr-15,Signature,Entertainment,F,289931
19351,"Savner, India",24-Apr-15,Signature,Bills,F,211381
19935,"Raayachuru, India",24-Apr-15,Signature,Food,F,263881
20736,"Hyderabad, India",24-Apr-15,Silver,Food,M,150043
20920,"Kanpur, India",24-Apr-15,Platinum,Entertainment,M,299053
21015,"Pune, India",24-Apr-15,Silver,Bills,F,70041
21656,"Chennai, India",24-Apr-15,Platinum,Grocery,M,108756
23237,"Kolkata, India",24-Apr-15,Silver,Bills,F,170435
23512,"Kanpur, India",24-Apr-15,Silver,Entertainment,M,261638
24089,"Lucknow, India",24-Apr-15,Gold,Grocery,F,150778
24632,"Jaipur, India",24-Apr-15,Silver,Entertainment,F,63810
24637,"Chennai, India",24-Apr-15,Silver,Bills,F,68492
25088,"Jaipur, India",24-Apr-15,Platinum,Food,M,60875
25237,"Surat, India",24-Apr-15,Platinum,Food,F,188545
25941,"Jaipur, India",24-Apr-15,Silver,Travel,M,30277
914,"Greater Mumbai, India",23-Apr-15,Silver,Food,F,72682
1310,"Delhi, India",23-Apr-15,Platinum,Food,F,28127
1885,"Bengaluru, India",23-Apr-15,Signature,Fuel,M,81796
2597,"Bengaluru, India",23-Apr-15,Gold,Fuel,M,80215
3040,"Bengaluru, India",23-Apr-15,Silver,Bills,F,236485
3594,"Bengaluru, India",23-Apr-15,Platinum,Fuel,M,99098
4064,"Bengaluru, India",23-Apr-15,Silver,Entertainment,F,88510
4544,"Bengaluru, India",23-Apr-15,Silver,Food,M,218195
5772,"Ahmedabad, India",23-Apr-15,Platinum,Fuel,F,196617
6718,"Delhi, India",23-Apr-15,Platinum,Bills,F,193612
7142,"Bengaluru, India",23-Apr-15,Silver,Entertainment,M,74214
7223,"Ahmedabad, India",23-Apr-15,Gold,Food,M,231175
7308,"Greater Mumbai, India",23-Apr-15,Signature,Bills,M,237173
8336,"Delhi, India",23-Apr-15,Platinum,Entertainment,M,196245
8945,"Bengaluru, India",23-Apr-15,Platinum,Fuel,F,33099
9227,"Delhi, India",23-Apr-15,Signature,Fuel,M,201485
10028,"Greater Mumbai, India",23-Apr-15,Silver,Food,M,273748
10655,"Ahmedabad, India",23-Apr-15,Gold,Food,M,260478
12363,"Ahmedabad, India",23-Apr-15,Signature,Grocery,F,287520
12483,"Greater Mumbai, India",23-Apr-15,Platinum,Food,M,68324
12592,"Greater Mumbai, India",23-Apr-15,Platinum,Grocery,M,192819
12666,"Delhi, India",23-Apr-15,Platinum,Entertainment,M,18087
13059,"Delhi, India",23-Apr-15,Silver,Bills,F,259423
13477,"Ahmedabad, India",23-Apr-15,Gold,Fuel,M,196296
13768,"Greater Mumbai, India",23-Apr-15,Platinum,Grocery,M,261016
14243,"Amroha, India",23-Apr-15,Platinum,Fuel,M,282791
15275,"Wokha, India",23-Apr-15,Platinum,Entertainment,F,161466
16965,"Sircilla, India",23-Apr-15,Silver,Grocery,M,118697
17247,"Paithan, India",23-Apr-15,Gold,Grocery,M,213340
17425,"Dehradun, India",23-Apr-15,Gold,Grocery,F,168632
17817,"Rampur, India",23-Apr-15,Platinum,Bills,F,257525
19842,"Ramnagar, India",23-Apr-15,Gold,Food,F,34575
20456,"Kanpur, India",23-Apr-15,Signature,Entertainment,F,283939
20765,"Chennai, India",23-Apr-15,Silver,Bills,F,259718
20954,"Pune, India",23-Apr-15,Platinum,Fuel,F,239670
20974,"Jaipur, India",23-Apr-15,Platinum,Fuel,M,69984
21156,"Hyderabad, India",23-Apr-15,Silver,Food,M,44125
21769,"Pune, India",23-Apr-15,Signature,Food,M,86214
21845,"Hyderabad, India",23-Apr-15,Gold,Entertainment,F,185922
22165,"Chennai, India",23-Apr-15,Silver,Food,M,19471
23024,"Hyderabad, India",23-Apr-15,Silver,Grocery,F,286571
23043,"Kanpur, India",23-Apr-15,Silver,Grocery,M,84243
23232,"Hyderabad, India",23-Apr-15,Platinum,Food,M,184514
23465,"Lucknow, India",23-Apr-15,Silver,Bills,M,50081
23621,"Lucknow, India",23-Apr-15,Gold,Bills,M,65724
23963,"Surat, India",23-Apr-15,Platinum,Bills,F,176470
24124,"Lucknow, India",23-Apr-15,Gold,Bills,M,17059
24174,"Lucknow, India",23-Apr-15,Platinum,Fuel,M,90387
24231,"Jaipur, India",23-Apr-15,Signature,Bills,F,107972
24650,"Pune, India",23-Apr-15,Platinum,Fuel,F,32782
25439,"Pune, India",23-Apr-15,Gold,Travel,F,96472
25481,"Jaipur, India",23-Apr-15,Signature,Travel,F,151752
252,"Bengaluru, India",22-Apr-15,Gold,Bills,F,599741
379,"Greater Mumbai, India",22-Apr-15,Platinum,Bills,F,265434
805,"Bengaluru, India",22-Apr-15,Silver,Food,F,236861
1583,"Bengaluru, India",22-Apr-15,Platinum,Food,F,203517
1780,"Greater Mumbai, India",22-Apr-15,Gold,Grocery,F,279143
1887,"Ahmedabad, India",22-Apr-15,Silver,Entertainment,M,221574
4160,"Ahmedabad, India",22-Apr-15,Signature,Bills,F,56488
4945,"Delhi, India",22-Apr-15,Platinum,Entertainment,M,250258
6826,"Ahmedabad, India",22-Apr-15,Silver,Entertainment,M,262966
6963,"Delhi, India",22-Apr-15,Silver,Grocery,F,257237
7648,"Delhi, India",22-Apr-15,Signature,Food,F,131118
8189,"Greater Mumbai, India",22-Apr-15,Gold,Grocery,M,27479
8227,"Greater Mumbai, India",22-Apr-15,Gold,Entertainment,M,2326
8663,"Delhi, India",22-Apr-15,Signature,Entertainment,M,262618
9182,"Bengaluru, India",22-Apr-15,Platinum,Grocery,F,291856
9939,"Delhi, India",22-Apr-15,Signature,Bills,M,7588
10059,"Greater Mumbai, India",22-Apr-15,Silver,Grocery,M,42532
10499,"Greater Mumbai, India",22-Apr-15,Signature,Entertainment,F,114234
10556,"Bengaluru, India",22-Apr-15,Gold,Food,F,46115
11096,"Greater Mumbai, India",22-Apr-15,Platinum,Food,M,204980
12518,"Ahmedabad, India",22-Apr-15,Gold,Fuel,F,205677
12735,"Greater Mumbai, India",22-Apr-15,Platinum,Grocery,F,273089
12872,"Bengaluru, India",22-Apr-15,Silver,Grocery,M,32619
13748,"Bengaluru, India",22-Apr-15,Signature,Bills,F,198546
14651,"Pulgaon, India",22-Apr-15,Gold,Grocery,F,282811
15998,"Karaikal, India",22-Apr-15,Gold,Food,F,291880
18570,"Aruppukkottai, India",22-Apr-15,Gold,Entertainment,F,280721
18592,"Unjha, India",22-Apr-15,Platinum,Entertainment,M,9616
19941,"Rawatbhata, India",22-Apr-15,Platinum,Food,M,136616
20492,"Hyderabad, India",22-Apr-15,Platinum,Grocery,M,123306
20781,"Surat, India",22-Apr-15,Platinum,Food,F,179772
21411,"Kolkata, India",22-Apr-15,Signature,Entertainment,F,26055
22114,"Kolkata, India",22-Apr-15,Platinum,Entertainment,M,57987
22962,"Hyderabad, India",22-Apr-15,Silver,Grocery,M,85493
24085,"Kanpur, India",22-Apr-15,Gold,Entertainment,M,294903
864,"Greater Mumbai, India",21-Apr-15,Silver,Grocery,F,62418
1341,"Greater Mumbai, India",21-Apr-15,Signature,Food,F,120368
1477,"Ahmedabad, India",21-Apr-15,Silver,Food,M,181913
5174,"Greater Mumbai, India",21-Apr-15,Platinum,Bills,F,183125
6745,"Ahmedabad, India",21-Apr-15,Platinum,Bills,M,292638
6918,"Greater Mumbai, India",21-Apr-15,Signature,Fuel,F,207930
7312,"Delhi, India",21-Apr-15,Gold,Fuel,M,162471
7959,"Delhi, India",21-Apr-15,Gold,Bills,F,231738
8421,"Bengaluru, India",21-Apr-15,Signature,Food,F,276270
8520,"Bengaluru, India",21-Apr-15,Signature,Grocery,M,130021
8973,"Delhi, India",21-Apr-15,Gold,Food,M,276779
9680,"Bengaluru, India",21-Apr-15,Signature,Entertainment,F,165035
9913,"Delhi, India",21-Apr-15,Platinum,Bills,M,230619
11131,"Greater Mumbai, India",21-Apr-15,Platinum,Bills,F,172441
11517,"Greater Mumbai, India",21-Apr-15,Silver,Grocery,F,56308
12390,"Delhi, India",21-Apr-15,Silver,Grocery,F,102513
12500,"Ahmedabad, India",21-Apr-15,Silver,Food,M,61728
12834,"Greater Mumbai, India",21-Apr-15,Gold,Grocery,M,101759
13169,"Greater Mumbai, India",21-Apr-15,Platinum,Food,F,59427
13643,"Ahmedabad, India",21-Apr-15,Silver,Fuel,F,209312
13905,"Ahmedabad, India",21-Apr-15,Platinum,Fuel,M,286352
14750,"Oddanchatram, India",21-Apr-15,Gold,Food,M,288843
15951,"Saharanpur, India",21-Apr-15,Platinum,Grocery,F,41241
17007,"Amalapuram, India",21-Apr-15,Signature,Bills,M,123312
17802,"Pedana, India",21-Apr-15,Silver,Food,M,272817
18108,"Bahadurgarh, India",21-Apr-15,Gold,Entertainment,M,69030
18736,"Kurnool, India",21-Apr-15,Gold,Entertainment,M,100013
18773,"Jhumri Tilaiya, India",21-Apr-15,Signature,Fuel,F,91635
18823,"Sangaria, India",21-Apr-15,Platinum,Food,M,21176
19777,"Patti, India",21-Apr-15,Gold,Food,F,28811
20546,"Lucknow, India",21-Apr-15,Silver,Grocery,M,73243
22180,"Surat, India",21-Apr-15,Signature,Fuel,F,84600
22330,"Chennai, India",21-Apr-15,Signature,Bills,F,128615
22744,"Chennai, India",21-Apr-15,Gold,Grocery,F,184547
23325,"Kolkata, India",21-Apr-15,Gold,Entertainment,M,216882
23330,"Kolkata, India",21-Apr-15,Platinum,Food,F,240214
23488,"Lucknow, India",21-Apr-15,Platinum,Bills,M,42327
25381,"Kolkata, India",21-Apr-15,Silver,Travel,F,269665
25719,"Kanpur, India",21-Apr-15,Platinum,Travel,F,205132
25970,"Hyderabad, India",21-Apr-15,Signature,Travel,F,175008
1429,"Greater Mumbai, India",20-Apr-15,Platinum,Food,F,126623
2307,"Delhi, India",20-Apr-15,Silver,Fuel,M,72414
2370,"Greater Mumbai, India",20-Apr-15,Signature,Fuel,M,206899
2555,"Delhi, India",20-Apr-15,Platinum,Fuel,F,67510
2803,"Delhi, India",20-Apr-15,Gold,Entertainment,F,240343
3962,"Delhi, India",20-Apr-15,Gold,Bills,M,239918
4397,"Delhi, India",20-Apr-15,Signature,Food,M,239931
4524,"Delhi, India",20-Apr-15,Silver,Entertainment,F,150141
5432,"Greater Mumbai, India",20-Apr-15,Signature,Food,F,50736
6226,"Bengaluru, India",20-Apr-15,Signature,Grocery,F,175439
7023,"Ahmedabad, India",20-Apr-15,Gold,Entertainment,F,48327
7289,"Bengaluru, India",20-Apr-15,Gold,Bills,F,156965
7814,"Bengaluru, India",20-Apr-15,Signature,Grocery,M,78557
8736,"Ahmedabad, India",20-Apr-15,Signature,Bills,M,124164
9267,"Ahmedabad, India",20-Apr-15,Signature,Entertainment,F,29305
9409,"Delhi, India",20-Apr-15,Signature,Bills,M,196438
9796,"Bengaluru, India",20-Apr-15,Silver,Fuel,F,222267
9968,"Greater Mumbai, India",20-Apr-15,Platinum,Entertainment,F,33789
10011,"Delhi, India",20-Apr-15,Gold,Food,M,33515
11897,"Bengaluru, India",20-Apr-15,Gold,Entertainment,F,257148
12710,"Delhi, India",20-Apr-15,Signature,Entertainment,F,205931
13699,"Delhi, India",20-Apr-15,Signature,Fuel,F,174300
14553,"Jamui, India",20-Apr-15,Silver,Food,F,30696
14896,"Bettiah, India",20-Apr-15,Signature,Fuel,M,286111
15028,"Seoni, India",20-Apr-15,Silver,Entertainment,F,185881
15720,"Akola, India",20-Apr-15,Platinum,Food,M,55691
15988,"Arvi, India",20-Apr-15,Platinum,Entertainment,M,138382
17004,"Achalpur, India",20-Apr-15,Gold,Bills,M,241504
17093,"Ambejogai, India",20-Apr-15,Signature,Food,F,122848
17319,"Mahesana, India",20-Apr-15,Signature,Bills,F,186485
17334,"Sagwara, India",20-Apr-15,Platinum,Food,F,223462
17786,"Vinukonda, India",20-Apr-15,Signature,Fuel,F,71781
17809,"Tarn Taran, India",20-Apr-15,Signature,Entertainment,M,277175
17898,"Sagar, India",20-Apr-15,Silver,Grocery,F,240438
19665,"Mahasamund, India",20-Apr-15,Platinum,Entertainment,M,260431
19940,"Raxaul Bazar, India",20-Apr-15,Platinum,Fuel,F,197753
20559,"Pune, India",20-Apr-15,Platinum,Fuel,F,165584
20763,"Surat, India",20-Apr-15,Signature,Entertainment,F,73153
21050,"Chennai, India",20-Apr-15,Platinum,Entertainment,M,57357
21851,"Lucknow, India",20-Apr-15,Silver,Entertainment,M,257332
22096,"Kolkata, India",20-Apr-15,Gold,Bills,F,26194
23260,"Hyderabad, India",20-Apr-15,Gold,Bills,M,145003
24949,"Jaipur, India",20-Apr-15,Silver,Bills,F,248930
25829,"Kanpur, India",20-Apr-15,Signature,Travel,F,27925
25893,"Jaipur, India",20-Apr-15,Platinum,Travel,M,173519
237,"Greater Mumbai, India",19-Apr-15,Gold,Bills,F,489540
245,"Delhi, India",19-Apr-15,Platinum,Bills,F,316946
304,"Delhi, India",19-Apr-15,Signature,Bills,F,212319
705,"Bengaluru, India",19-Apr-15,Gold,Food,F,71741
1466,"Delhi, India",19-Apr-15,Platinum,Food,M,117543
2058,"Bengaluru, India",19-Apr-15,Gold,Fuel,M,267598
2515,"Greater Mumbai, India",19-Apr-15,Platinum,Fuel,M,203423
4767,"Greater Mumbai, India",19-Apr-15,Platinum,Bills,F,285254
5693,"Delhi, India",19-Apr-15,Signature,Entertainment,M,294363
6416,"Bengaluru, India",19-Apr-15,Gold,Bills,M,28094
6707,"Ahmedabad, India",19-Apr-15,Platinum,Food,M,121934
6865,"Bengaluru, India",19-Apr-15,Gold,Bills,F,81278
7021,"Ahmedabad, India",19-Apr-15,Platinum,Entertainment,F,246858
7106,"Greater Mumbai, India",19-Apr-15,Platinum,Grocery,M,235232
7741,"Bengaluru, India",19-Apr-15,Signature,Entertainment,F,175365
8813,"Ahmedabad, India",19-Apr-15,Silver,Grocery,M,69333
10326,"Ahmedabad, India",19-Apr-15,Platinum,Bills,F,151208
10653,"Greater Mumbai, India",19-Apr-15,Platinum,Bills,F,88280
11843,"Delhi, India",19-Apr-15,Gold,Grocery,M,55673
12133,"Greater Mumbai, India",19-Apr-15,Silver,Food,M,79147
12194,"Delhi, India",19-Apr-15,Gold,Bills,M,141172
12562,"Bengaluru, India",19-Apr-15,Gold,Bills,F,148531
13271,"Ahmedabad, India",19-Apr-15,Gold,Bills,F,63061
15701,"Hardoi , India",19-Apr-15,Gold,Grocery,F,99125
17025,"Jhumri Tilaiya, India",19-Apr-15,Silver,Grocery,M,212877
18402,"Sonipat, India",19-Apr-15,Gold,Entertainment,M,292817
19073,"Sujangarh, India",19-Apr-15,Signature,Grocery,F,265399
19175,"Deoghar, India",19-Apr-15,Platinum,Food,M,250666
20248,"Kanpur, India",19-Apr-15,Gold,Bills,M,80587
21365,"Kanpur, India",19-Apr-15,Silver,Grocery,M,279591
21484,"Lucknow, India",19-Apr-15,Gold,Fuel,F,33708
21885,"Pune, India",19-Apr-15,Gold,Food,M,276331
21945,"Chennai, India",19-Apr-15,Signature,Fuel,M,184276
23448,"Surat, India",19-Apr-15,Gold,Entertainment,M,237246
23950,"Hyderabad, India",19-Apr-15,Platinum,Entertainment,M,46103
24857,"Kanpur, India",19-Apr-15,Signature,Entertainment,M,33313
25272,"Lucknow, India",19-Apr-15,Platinum,Grocery,M,192582
25924,"Pune, India",19-Apr-15,Silver,Travel,M,267935
29,"Delhi, India",18-Apr-15,Gold,Bills,F,702774
305,"Greater Mumbai, India",18-Apr-15,Platinum,Bills,F,307563
443,"Greater Mumbai, India",18-Apr-15,Gold,Bills,F,246457
501,"Ahmedabad, India",18-Apr-15,Silver,Food,F,156519
1942,"Delhi, India",18-Apr-15,Silver,Grocery,F,37213
2100,"Delhi, India",18-Apr-15,Silver,Fuel,M,190441
2499,"Greater Mumbai, India",18-Apr-15,Platinum,Fuel,M,252257
3075,"Greater Mumbai, India",18-Apr-15,Silver,Entertainment,M,141940
3312,"Delhi, India",18-Apr-15,Platinum,Food,F,193146
4304,"Bengaluru, India",18-Apr-15,Silver,Entertainment,F,229171
5208,"Bengaluru, India",18-Apr-15,Gold,Entertainment,M,156016
7093,"Ahmedabad, India",18-Apr-15,Gold,Entertainment,M,180376
7772,"Delhi, India",18-Apr-15,Silver,Food,M,294231
8138,"Delhi, India",18-Apr-15,Silver,Fuel,F,61203
8612,"Greater Mumbai, India",18-Apr-15,Signature,Food,M,178159
8821,"Bengaluru, India",18-Apr-15,Silver,Grocery,M,34158
8972,"Delhi, India",18-Apr-15,Gold,Food,M,36781
9136,"Bengaluru, India",18-Apr-15,Signature,Food,M,54346
9678,"Bengaluru, India",18-Apr-15,Platinum,Grocery,M,17155
9925,"Bengaluru, India",18-Apr-15,Gold,Fuel,F,216366
9985,"Ahmedabad, India",18-Apr-15,Gold,Entertainment,M,290801
11864,"Delhi, India",18-Apr-15,Silver,Fuel,M,86484
12094,"Ahmedabad, India",18-Apr-15,Silver,Bills,M,110755
12104,"Greater Mumbai, India",18-Apr-15,Signature,Fuel,F,122519
14212,"Palacole, India",18-Apr-15,Platinum,Grocery,F,137611
17070,"Ujjain, India",18-Apr-15,Silver,Food,M,232728
17406,"Kathua, India",18-Apr-15,Silver,Bills,M,203454
17805,"Kendujhar, India",18-Apr-15,Platinum,Food,F,94589
18796,"Parvathipuram, India",18-Apr-15,Signature,Bills,M,258426
18868,"Motihari, India",18-Apr-15,Silver,Food,F,113102
19230,"Nellikuppam, India",18-Apr-15,Platinum,Food,F,116219
19275,"Virudhunagar, India",18-Apr-15,Silver,Fuel,F,31492
19330,"Petlad, India",18-Apr-15,Silver,Entertainment,M,178593
20847,"Kolkata, India",18-Apr-15,Gold,Fuel,M,230372
21853,"Kolkata, India",18-Apr-15,Gold,Fuel,M,84778
22990,"Lucknow, India",18-Apr-15,Gold,Grocery,M,282930
23342,"Lucknow, India",18-Apr-15,Silver,Bills,F,282523
24145,"Kanpur, India",18-Apr-15,Signature,Entertainment,F,283475
24208,"Surat, India",18-Apr-15,Gold,Food,M,143898
24511,"Jaipur, India",18-Apr-15,Signature,Entertainment,F,177888
25189,"Lucknow, India",18-Apr-15,Gold,Fuel,M,219193
25347,"Kanpur, India",18-Apr-15,Signature,Travel,F,164767
25993,"Chennai, India",18-Apr-15,Platinum,Travel,F,243160
254,"Ahmedabad, India",17-Apr-15,Gold,Bills,F,996291
2438,"Bengaluru, India",17-Apr-15,Gold,Fuel,M,131651
3445,"Ahmedabad, India",17-Apr-15,Signature,Grocery,F,257351
3605,"Ahmedabad, India",17-Apr-15,Gold,Entertainment,F,135954
3794,"Delhi, India",17-Apr-15,Gold,Bills,M,191041
5220,"Greater Mumbai, India",17-Apr-15,Silver,Fuel,M,119541
5967,"Delhi, India",17-Apr-15,Gold,Bills,M,115674
6272,"Delhi, India",17-Apr-15,Silver,Bills,M,53659
6561,"Greater Mumbai, India",17-Apr-15,Gold,Entertainment,F,226598
